name_team,id,ova,att,mid,def,transfer_budget,speed,dribbling,passing,positioning,crossing,shooting,aggression,pressure,team_width,defender_line,dp,ip,players,saa,taa,date,fifa,year_week
stoke_city,1806,74,76,73,73,16,balanced,little,normal,organised,normal,normal,press,medium,normal,cover,13,15,33,26.64,24.24,2014-09-19,FIFA14,2014-W38
west_ham_united,19,74,76,74,72,9.5,fast,normal,risky,organised,lots,little,press,deep,normal,cover,13,13,33,27.73,25.79,2014-09-19,FIFA14,2014-W38
sunderland,106,74,74,73,73,17,balanced,little,normal,organised,normal,normal,press,medium,normal,cover,12,16,33,25.91,24.15,2014-09-19,FIFA14,2014-W38
west_bromwich_albion,109,74,70,74,72,9,balanced,normal,normal,organised,normal,normal,press,medium,normal,cover,11,14,32,27.91,24.75,2014-09-19,FIFA14,2014-W38
crystal_palace,1799,72,71,72,71,7,balanced,normal,risky,organised,normal,normal,press,medium,normal,cover,10,10,33,26.18,25.55,2014-09-19,FIFA14,2014-W38
hull_city,1952,72,72,71,71,6.5,balanced,normal,normal,organised,normal,normal,press,medium,normal,cover,10,9,33,26.55,25.12,2014-09-19,FIFA14,2014-W38
cardiff_city,1961,72,72,70,73,6.8,balanced,little,normal,organised,normal,normal,press,deep,normal,cover,11,8,33,23.55,23.82,2014-09-19,FIFA14,2014-W38
chelsea,5,82,81,82,81,55,fast,normal,normal,organised,normal,lots,press,medium,normal,cover,20,20,33,26.18,24.03,2014-09-12,FIFA14,2014-W37
manchester_city,10,82,84,83,81,90,balanced,normal,safe,organised,normal,normal,press,medium,normal,cover,18,19,33,27.55,24.42,2014-09-12,FIFA14,2014-W37
manchester_united,11,82,85,79,80,39,balanced,normal,normal,organised,lots,normal,press,medium,normal,cover,20,20,33,27.18,24,2014-09-12,FIFA14,2014-W37
arsenal,1,80,79,81,80,30,balanced,normal,safe,free_form,normal,normal,press,medium,normal,cover,18,18,33,26.36,24,2014-09-12,FIFA14,2014-W37
liverpool,9,80,76,79,78,21,fast,normal,normal,organised,normal,normal,press,medium,normal,cover,17,18,33,24.55,22.85,2014-09-12,FIFA14,2014-W37
tottenham_hotspur,18,80,77,80,78,28,balanced,normal,normal,organised,normal,normal,press,medium,normal,cover,17,17,33,24.45,23.39,2014-09-12,FIFA14,2014-W37
everton,7,78,78,78,78,13,balanced,normal,normal,organised,normal,normal,press,medium,normal,cover,14,16,33,27.27,24.06,2014-09-12,FIFA14,2014-W37
newcastle_united,13,76,78,75,76,17,balanced,little,normal,organised,normal,normal,press,medium,normal,cover,15,16,33,25.73,23.33,2014-09-12,FIFA14,2014-W37
swansea_city,1960,76,79,74,75,8,balanced,normal,normal,free_form,normal,normal,press,medium,normal,cover,10,14,33,25.55,24.15,2014-09-12,FIFA14,2014-W37
southampton,17,75,76,76,73,10,balanced,normal,normal,free_form,normal,normal,press,medium,normal,cover,11,11,33,24.82,22.24,2014-09-12,FIFA14,2014-W37
fulham,144,75,71,74,72,15,balanced,normal,normal,organised,normal,normal,contain,deep,normal,cover,13,16,33,27.09,25.76,2014-09-12,FIFA14,2014-W37
norwich_city,1792,74,74,74,74,7.5,balanced,little,normal,organised,lots,normal,press,medium,normal,cover,10,14,33,26.09,25.18,2014-09-12,FIFA14,2014-W37
aston_villa,2,74,72,71,74,13,balanced,little,normal,organised,normal,normal,press,medium,normal,cover,15,16,33,23.64,23.24,2014-09-12,FIFA14,2014-W37
stoke_city,1806,74,76,73,73,16,balanced,little,normal,organised,normal,normal,press,medium,normal,cover,13,15,33,26.64,24.24,2014-09-12,FIFA14,2014-W37
west_ham_united,19,74,76,74,72,9.5,fast,normal,risky,organised,lots,little,press,deep,normal,cover,13,13,33,27.73,25.79,2014-09-12,FIFA14,2014-W37
sunderland,106,74,74,73,73,17,balanced,little,normal,organised,normal,normal,press,medium,normal,cover,12,16,33,25.91,24.15,2014-09-12,FIFA14,2014-W37
west_bromwich_albion,109,74,70,74,72,9,balanced,normal,normal,organised,normal,normal,press,medium,normal,cover,11,14,32,27.91,24.75,2014-09-12,FIFA14,2014-W37
crystal_palace,1799,72,71,72,71,7,balanced,normal,risky,organised,normal,normal,press,medium,normal,cover,10,10,33,26.18,25.55,2014-09-12,FIFA14,2014-W37
hull_city,1952,72,72,71,71,6.5,balanced,normal,normal,organised,normal,normal,press,medium,normal,cover,10,9,33,26.55,25.12,2014-09-12,FIFA14,2014-W37
cardiff_city,1961,72,72,70,73,6.8,balanced,little,normal,organised,normal,normal,press,deep,normal,cover,11,8,33,23.55,23.82,2014-09-12,FIFA14,2014-W37
chelsea,5,82,81,82,81,55,fast,normal,normal,organised,normal,lots,press,medium,normal,cover,20,20,33,26.18,24.03,2014-09-05,FIFA14,2014-W36
manchester_city,10,82,84,83,81,90,balanced,normal,safe,organised,normal,normal,press,medium,normal,cover,18,19,33,27.55,24.42,2014-09-05,FIFA14,2014-W36
manchester_united,11,82,85,79,80,39,balanced,normal,normal,organised,lots,normal,press,medium,normal,cover,20,20,33,27.18,24,2014-09-05,FIFA14,2014-W36
arsenal,1,80,79,81,80,30,balanced,normal,safe,free_form,normal,normal,press,medium,normal,cover,18,18,33,26.36,24,2014-09-05,FIFA14,2014-W36
liverpool,9,80,76,79,78,21,fast,normal,normal,organised,normal,normal,press,medium,normal,cover,17,18,33,24.55,22.85,2014-09-05,FIFA14,2014-W36
tottenham_hotspur,18,80,77,80,78,28,balanced,normal,normal,organised,normal,normal,press,medium,normal,cover,17,17,33,24.45,23.39,2014-09-05,FIFA14,2014-W36
everton,7,78,78,78,78,13,balanced,normal,normal,organised,normal,normal,press,medium,normal,cover,14,16,33,27.27,24.06,2014-09-05,FIFA14,2014-W36
newcastle_united,13,76,78,75,76,17,balanced,little,normal,organised,normal,normal,press,medium,normal,cover,15,16,33,25.73,23.33,2014-09-05,FIFA14,2014-W36
swansea_city,1960,76,79,74,75,8,balanced,normal,normal,free_form,normal,normal,press,medium,normal,cover,10,14,33,25.55,24.15,2014-09-05,FIFA14,2014-W36
southampton,17,75,76,76,73,10,balanced,normal,normal,free_form,normal,normal,press,medium,normal,cover,11,11,33,24.82,22.24,2014-09-05,FIFA14,2014-W36
fulham,144,75,71,74,72,15,balanced,normal,normal,organised,normal,normal,contain,deep,normal,cover,13,16,33,27.09,25.76,2014-09-05,FIFA14,2014-W36
norwich_city,1792,74,74,74,74,7.5,balanced,little,normal,organised,lots,normal,press,medium,normal,cover,10,14,33,26.09,25.18,2014-09-05,FIFA14,2014-W36
aston_villa,2,74,72,71,74,13,balanced,little,normal,organised,normal,normal,press,medium,normal,cover,15,16,33,23.64,23.24,2014-09-05,FIFA14,2014-W36
stoke_city,1806,74,76,73,73,16,balanced,little,normal,organised,normal,normal,press,medium,normal,cover,13,15,33,26.64,24.24,2014-09-05,FIFA14,2014-W36
west_ham_united,19,74,76,74,72,9.5,fast,normal,risky,organised,lots,little,press,deep,normal,cover,13,13,33,27.73,25.79,2014-09-05,FIFA14,2014-W36
sunderland,106,74,74,73,73,17,balanced,little,normal,organised,normal,normal,press,medium,normal,cover,12,16,33,25.91,24.15,2014-09-05,FIFA14,2014-W36
west_bromwich_albion,109,74,70,74,72,9,balanced,normal,normal,organised,normal,normal,press,medium,normal,cover,11,14,32,27.91,24.75,2014-09-05,FIFA14,2014-W36
crystal_palace,1799,72,71,72,71,7,balanced,normal,risky,organised,normal,normal,press,medium,normal,cover,10,10,33,26.18,25.55,2014-09-05,FIFA14,2014-W36
hull_city,1952,72,72,71,71,6.5,balanced,normal,normal,organised,normal,normal,press,medium,normal,cover,10,9,33,26.55,25.12,2014-09-05,FIFA14,2014-W36
cardiff_city,1961,72,72,70,73,6.8,balanced,little,normal,organised,normal,normal,press,deep,normal,cover,11,8,33,23.55,23.82,2014-09-05,FIFA14,2014-W36
chelsea,5,82,81,82,81,55,fast,normal,normal,organised,normal,lots,press,medium,normal,cover,20,20,33,26.18,24.03,2014-08-29,FIFA14,2014-W35
manchester_city,10,82,84,83,81,90,balanced,normal,safe,organised,normal,normal,press,medium,normal,cover,18,19,33,27.55,24.42,2014-08-29,FIFA14,2014-W35
manchester_united,11,82,85,79,80,39,balanced,normal,normal,organised,lots,normal,press,medium,normal,cover,20,20,33,27.18,24,2014-08-29,FIFA14,2014-W35
arsenal,1,80,79,81,80,30,balanced,normal,safe,free_form,normal,normal,press,medium,normal,cover,18,18,33,26.36,24,2014-08-29,FIFA14,2014-W35
liverpool,9,80,76,79,78,21,fast,normal,normal,organised,normal,normal,press,medium,normal,cover,17,18,33,24.55,22.85,2014-08-29,FIFA14,2014-W35
tottenham_hotspur,18,80,77,80,78,28,balanced,normal,normal,organised,normal,normal,press,medium,normal,cover,17,17,33,24.45,23.39,2014-08-29,FIFA14,2014-W35
everton,7,78,78,78,78,13,balanced,normal,normal,organised,normal,normal,press,medium,normal,cover,14,16,33,27.27,24.06,2014-08-29,FIFA14,2014-W35
newcastle_united,13,76,78,75,76,17,balanced,little,normal,organised,normal,normal,press,medium,normal,cover,15,16,33,25.73,23.33,2014-08-29,FIFA14,2014-W35
swansea_city,1960,76,79,74,75,8,balanced,normal,normal,free_form,normal,normal,press,medium,normal,cover,10,14,33,25.55,24.15,2014-08-29,FIFA14,2014-W35
southampton,17,75,76,76,73,10,balanced,normal,normal,free_form,normal,normal,press,medium,normal,cover,11,11,33,24.82,22.24,2014-08-29,FIFA14,2014-W35
fulham,144,75,71,74,72,15,balanced,normal,normal,organised,normal,normal,contain,deep,normal,cover,13,16,33,27.09,25.76,2014-08-29,FIFA14,2014-W35
norwich_city,1792,74,74,74,74,7.5,balanced,little,normal,organised,lots,normal,press,medium,normal,cover,10,14,33,26.09,25.18,2014-08-29,FIFA14,2014-W35
aston_villa,2,74,72,71,74,13,balanced,little,normal,organised,normal,normal,press,medium,normal,cover,15,16,33,23.64,23.24,2014-08-29,FIFA14,2014-W35
stoke_city,1806,74,76,73,73,16,balanced,little,normal,organised,normal,normal,press,medium,normal,cover,13,15,33,26.64,24.24,2014-08-29,FIFA14,2014-W35
west_ham_united,19,74,76,74,72,9.5,fast,normal,risky,organised,lots,little,press,deep,normal,cover,13,13,33,27.73,25.79,2014-08-29,FIFA14,2014-W35
sunderland,106,74,74,73,73,17,balanced,little,normal,organised,normal,normal,press,medium,normal,cover,12,16,33,25.91,24.15,2014-08-29,FIFA14,2014-W35
west_bromwich_albion,109,74,70,74,72,9,balanced,normal,normal,organised,normal,normal,press,medium,normal,cover,11,14,32,27.91,24.75,2014-08-29,FIFA14,2014-W35
crystal_palace,1799,72,71,72,71,7,balanced,normal,risky,organised,normal,normal,press,medium,normal,cover,10,10,33,26.18,25.55,2014-08-29,FIFA14,2014-W35
hull_city,1952,72,72,71,71,6.5,balanced,normal,normal,organised,normal,normal,press,medium,normal,cover,10,9,33,26.55,25.12,2014-08-29,FIFA14,2014-W35
cardiff_city,1961,72,72,70,73,6.8,balanced,little,normal,organised,normal,normal,press,deep,normal,cover,11,8,33,23.55,23.82,2014-08-29,FIFA14,2014-W35
chelsea,5,82,81,82,81,55,fast,normal,normal,organised,normal,lots,press,medium,normal,cover,20,20,33,26.18,24.03,2014-08-22,FIFA14,2014-W34
manchester_city,10,82,84,83,81,90,balanced,normal,safe,organised,normal,normal,press,medium,normal,cover,18,19,33,27.55,24.42,2014-08-22,FIFA14,2014-W34
manchester_united,11,82,85,79,80,39,balanced,normal,normal,organised,lots,normal,press,medium,normal,cover,20,20,33,27.18,24,2014-08-22,FIFA14,2014-W34
arsenal,1,80,79,81,80,30,balanced,normal,safe,free_form,normal,normal,press,medium,normal,cover,18,18,33,26.36,24,2014-08-22,FIFA14,2014-W34
liverpool,9,80,76,79,78,21,fast,normal,normal,organised,normal,normal,press,medium,normal,cover,17,18,33,24.55,22.85,2014-08-22,FIFA14,2014-W34
tottenham_hotspur,18,80,77,80,78,28,balanced,normal,normal,organised,normal,normal,press,medium,normal,cover,17,17,33,24.45,23.39,2014-08-22,FIFA14,2014-W34
everton,7,78,78,78,78,13,balanced,normal,normal,organised,normal,normal,press,medium,normal,cover,14,16,33,27.27,24.06,2014-08-22,FIFA14,2014-W34
newcastle_united,13,76,78,75,76,17,balanced,little,normal,organised,normal,normal,press,medium,normal,cover,15,16,33,25.73,23.33,2014-08-22,FIFA14,2014-W34
swansea_city,1960,76,79,74,75,8,balanced,normal,normal,free_form,normal,normal,press,medium,normal,cover,10,14,33,25.55,24.15,2014-08-22,FIFA14,2014-W34
southampton,17,75,76,76,73,10,balanced,normal,normal,free_form,normal,normal,press,medium,normal,cover,11,11,33,24.82,22.24,2014-08-22,FIFA14,2014-W34
fulham,144,75,71,74,72,15,balanced,normal,normal,organised,normal,normal,contain,deep,normal,cover,13,16,33,27.09,25.76,2014-08-22,FIFA14,2014-W34
norwich_city,1792,74,74,74,74,7.5,balanced,little,normal,organised,lots,normal,press,medium,normal,cover,10,14,33,26.09,25.18,2014-08-22,FIFA14,2014-W34
aston_villa,2,74,72,71,74,13,balanced,little,normal,organised,normal,normal,press,medium,normal,cover,15,16,33,23.64,23.24,2014-08-22,FIFA14,2014-W34
stoke_city,1806,74,76,73,73,16,balanced,little,normal,organised,normal,normal,press,medium,normal,cover,13,15,33,26.64,24.24,2014-08-22,FIFA14,2014-W34
west_ham_united,19,74,76,74,72,9.5,fast,normal,risky,organised,lots,little,press,deep,normal,cover,13,13,33,27.73,25.79,2014-08-22,FIFA14,2014-W34
sunderland,106,74,74,73,73,17,balanced,little,normal,organised,normal,normal,press,medium,normal,cover,12,16,33,25.91,24.15,2014-08-22,FIFA14,2014-W34
west_bromwich_albion,109,74,70,74,72,9,balanced,normal,normal,organised,normal,normal,press,medium,normal,cover,11,14,32,27.91,24.75,2014-08-22,FIFA14,2014-W34
crystal_palace,1799,72,71,72,71,7,balanced,normal,risky,organised,normal,normal,press,medium,normal,cover,10,10,33,26.18,25.55,2014-08-22,FIFA14,2014-W34
hull_city,1952,72,72,71,71,6.5,balanced,normal,normal,organised,normal,normal,press,medium,normal,cover,10,9,33,26.55,25.12,2014-08-22,FIFA14,2014-W34
cardiff_city,1961,72,72,70,73,6.8,balanced,little,normal,organised,normal,normal,press,deep,normal,cover,11,8,33,23.55,23.82,2014-08-22,FIFA14,2014-W34
chelsea,5,82,81,82,81,55,fast,normal,normal,organised,normal,lots,press,medium,normal,cover,20,20,33,26.18,24.61,2014-08-15,FIFA14,2014-W33
manchester_city,10,82,84,83,81,90,balanced,normal,safe,organised,normal,normal,press,medium,normal,cover,18,19,33,27.55,24.42,2014-08-15,FIFA14,2014-W33
manchester_united,11,82,85,79,80,39,balanced,normal,normal,organised,lots,normal,press,medium,normal,cover,20,20,33,27.18,24,2014-08-15,FIFA14,2014-W33
arsenal,1,80,79,81,80,30,balanced,normal,safe,free_form,normal,normal,press,medium,normal,cover,18,18,33,26.36,24,2014-08-15,FIFA14,2014-W33
liverpool,9,80,76,79,78,21,fast,normal,normal,organised,normal,normal,press,medium,normal,cover,17,18,33,24.55,22.85,2014-08-15,FIFA14,2014-W33
tottenham_hotspur,18,80,77,80,78,28,balanced,normal,normal,organised,normal,normal,press,medium,normal,cover,17,17,33,24.45,23.39,2014-08-15,FIFA14,2014-W33
everton,7,78,78,78,78,13,balanced,normal,normal,organised,normal,normal,press,medium,normal,cover,14,16,33,27.27,24.06,2014-08-15,FIFA14,2014-W33
newcastle_united,13,76,78,75,76,17,balanced,little,normal,organised,normal,normal,press,medium,normal,cover,15,16,33,25.73,23.33,2014-08-15,FIFA14,2014-W33
swansea_city,1960,76,79,74,75,8,balanced,normal,normal,free_form,normal,normal,press,medium,normal,cover,10,14,33,25.55,24.15,2014-08-15,FIFA14,2014-W33
southampton,17,75,76,76,73,10,balanced,normal,normal,free_form,normal,normal,press,medium,normal,cover,11,11,33,24.82,22.24,2014-08-15,FIFA14,2014-W33
fulham,144,75,71,74,72,15,balanced,normal,normal,organised,normal,normal,contain,deep,normal,cover,13,16,33,27.09,25.76,2014-08-15,FIFA14,2014-W33
norwich_city,1792,74,74,74,74,7.5,balanced,little,normal,organised,lots,normal,press,medium,normal,cover,10,14,33,26.09,25.18,2014-08-15,FIFA14,2014-W33
aston_villa,2,74,72,71,74,13,balanced,little,normal,organised,normal,normal,press,medium,normal,cover,15,16,33,23.64,23.24,2014-08-15,FIFA14,2014-W33
stoke_city,1806,74,76,73,73,16,balanced,little,normal,organised,normal,normal,press,medium,normal,cover,13,15,33,26.64,24.24,2014-08-15,FIFA14,2014-W33
west_ham_united,19,74,76,74,72,9.5,fast,normal,risky,organised,lots,little,press,deep,normal,cover,13,13,33,27.73,25.79,2014-08-15,FIFA14,2014-W33
sunderland,106,74,74,73,73,17,balanced,little,normal,organised,normal,normal,press,medium,normal,cover,12,16,33,25.91,24.15,2014-08-15,FIFA14,2014-W33
west_bromwich_albion,109,74,70,74,72,9,balanced,normal,normal,organised,normal,normal,press,medium,normal,cover,11,14,32,27.91,24.75,2014-08-15,FIFA14,2014-W33
crystal_palace,1799,72,71,72,71,7,balanced,normal,risky,organised,normal,normal,press,medium,normal,cover,10,10,33,26.18,25.55,2014-08-15,FIFA14,2014-W33
hull_city,1952,72,72,71,71,6.5,balanced,normal,normal,organised,normal,normal,press,medium,normal,cover,10,9,33,26.55,25.12,2014-08-15,FIFA14,2014-W33
cardiff_city,1961,72,72,70,73,6.8,balanced,little,normal,organised,normal,normal,press,deep,normal,cover,11,8,33,23.55,23.82,2014-08-15,FIFA14,2014-W33
chelsea,5,82,81,82,81,55,fast,normal,normal,organised,normal,lots,press,medium,normal,cover,20,20,33,26.18,24.61,2014-08-08,FIFA14,2014-W32
manchester_city,10,82,84,83,81,90,balanced,normal,safe,organised,normal,normal,press,medium,normal,cover,18,19,33,27.55,24.42,2014-08-08,FIFA14,2014-W32
manchester_united,11,82,85,79,80,39,balanced,normal,normal,organised,lots,normal,press,medium,normal,cover,20,20,33,27.18,24,2014-08-08,FIFA14,2014-W32
arsenal,1,80,79,81,80,30,balanced,normal,safe,free_form,normal,normal,press,medium,normal,cover,18,18,33,26.36,24,2014-08-08,FIFA14,2014-W32
liverpool,9,80,76,79,78,21,fast,normal,normal,organised,normal,normal,press,medium,normal,cover,17,18,33,24.55,22.85,2014-08-08,FIFA14,2014-W32
tottenham_hotspur,18,80,77,80,78,28,balanced,normal,normal,organised,normal,normal,press,medium,normal,cover,17,17,33,24.45,23.39,2014-08-08,FIFA14,2014-W32
everton,7,78,78,78,78,13,balanced,normal,normal,organised,normal,normal,press,medium,normal,cover,14,16,33,27.27,24.06,2014-08-08,FIFA14,2014-W32
newcastle_united,13,76,78,75,76,17,balanced,little,normal,organised,normal,normal,press,medium,normal,cover,15,16,33,25.73,23.33,2014-08-08,FIFA14,2014-W32
swansea_city,1960,76,79,74,75,8,balanced,normal,normal,free_form,normal,normal,press,medium,normal,cover,10,14,33,25.55,24.15,2014-08-08,FIFA14,2014-W32
southampton,17,75,76,76,73,10,balanced,normal,normal,free_form,normal,normal,press,medium,normal,cover,11,11,33,24.82,22.24,2014-08-08,FIFA14,2014-W32
fulham,144,75,71,74,72,15,balanced,normal,normal,organised,normal,normal,contain,deep,normal,cover,13,16,33,27.09,25.76,2014-08-08,FIFA14,2014-W32
norwich_city,1792,74,74,74,74,7.5,balanced,little,normal,organised,lots,normal,press,medium,normal,cover,10,14,33,26.09,25.18,2014-08-08,FIFA14,2014-W32
aston_villa,2,74,72,71,74,13,balanced,little,normal,organised,normal,normal,press,medium,normal,cover,15,16,33,23.64,23.24,2014-08-08,FIFA14,2014-W32
stoke_city,1806,74,76,73,73,16,balanced,little,normal,organised,normal,normal,press,medium,normal,cover,13,15,33,26.64,24.24,2014-08-08,FIFA14,2014-W32
west_ham_united,19,74,76,74,72,9.5,fast,normal,risky,organised,lots,little,press,deep,normal,cover,13,13,33,27.73,25.79,2014-08-08,FIFA14,2014-W32
sunderland,106,74,74,73,73,17,balanced,little,normal,organised,normal,normal,press,medium,normal,cover,12,16,33,25.91,24.15,2014-08-08,FIFA14,2014-W32
west_bromwich_albion,109,74,70,74,72,9,balanced,normal,normal,organised,normal,normal,press,medium,normal,cover,11,14,32,27.91,24.75,2014-08-08,FIFA14,2014-W32
crystal_palace,1799,72,71,72,71,7,balanced,normal,risky,organised,normal,normal,press,medium,normal,cover,10,10,33,26.18,25.55,2014-08-08,FIFA14,2014-W32
hull_city,1952,72,72,71,71,6.5,balanced,normal,normal,organised,normal,normal,press,medium,normal,cover,10,9,33,26.55,25.12,2014-08-08,FIFA14,2014-W32
cardiff_city,1961,72,72,70,73,6.8,balanced,little,normal,organised,normal,normal,press,deep,normal,cover,11,8,33,23.55,23.82,2014-08-08,FIFA14,2014-W32
chelsea,5,82,81,82,81,55,fast,normal,normal,organised,normal,lots,press,medium,normal,cover,20,20,33,26.18,24.61,2014-08-01,FIFA14,2014-W31
manchester_city,10,82,84,83,81,90,balanced,normal,safe,organised,normal,normal,press,medium,normal,cover,18,19,33,27.55,24.42,2014-08-01,FIFA14,2014-W31
manchester_united,11,82,85,79,80,39,balanced,normal,normal,organised,lots,normal,press,medium,normal,cover,20,20,33,27.18,24,2014-08-01,FIFA14,2014-W31
arsenal,1,80,79,81,80,30,balanced,normal,safe,free_form,normal,normal,press,medium,normal,cover,18,18,33,26.36,24,2014-08-01,FIFA14,2014-W31
liverpool,9,80,76,79,78,21,fast,normal,normal,organised,normal,normal,press,medium,normal,cover,17,18,33,24.55,22.85,2014-08-01,FIFA14,2014-W31
tottenham_hotspur,18,80,77,80,78,28,balanced,normal,normal,organised,normal,normal,press,medium,normal,cover,17,17,33,24.45,23.39,2014-08-01,FIFA14,2014-W31
everton,7,78,78,78,78,13,balanced,normal,normal,organised,normal,normal,press,medium,normal,cover,14,16,33,27.27,24.06,2014-08-01,FIFA14,2014-W31
newcastle_united,13,76,78,75,76,17,balanced,little,normal,organised,normal,normal,press,medium,normal,cover,15,16,33,25.73,23.33,2014-08-01,FIFA14,2014-W31
swansea_city,1960,76,79,74,75,8,balanced,normal,normal,free_form,normal,normal,press,medium,normal,cover,10,14,33,25.55,24.15,2014-08-01,FIFA14,2014-W31
southampton,17,75,76,76,73,10,balanced,normal,normal,free_form,normal,normal,press,medium,normal,cover,11,11,33,24.82,22.24,2014-08-01,FIFA14,2014-W31
fulham,144,75,71,74,72,15,balanced,normal,normal,organised,normal,normal,contain,deep,normal,cover,13,16,33,27.09,25.76,2014-08-01,FIFA14,2014-W31
norwich_city,1792,74,74,74,74,7.5,balanced,little,normal,organised,lots,normal,press,medium,normal,cover,10,14,33,26.09,25.18,2014-08-01,FIFA14,2014-W31
aston_villa,2,74,72,71,74,13,balanced,little,normal,organised,normal,normal,press,medium,normal,cover,15,16,33,23.64,23.24,2014-08-01,FIFA14,2014-W31
stoke_city,1806,74,76,73,73,16,balanced,little,normal,organised,normal,normal,press,medium,normal,cover,13,15,33,26.64,24.24,2014-08-01,FIFA14,2014-W31
west_ham_united,19,74,76,74,72,9.5,fast,normal,risky,organised,lots,little,press,deep,normal,cover,13,13,33,27.73,25.79,2014-08-01,FIFA14,2014-W31
sunderland,106,74,74,73,73,17,balanced,little,normal,organised,normal,normal,press,medium,normal,cover,12,16,33,25.91,24.15,2014-08-01,FIFA14,2014-W31
west_bromwich_albion,109,74,70,74,72,9,balanced,normal,normal,organised,normal,normal,press,medium,normal,cover,11,14,32,27.91,24.75,2014-08-01,FIFA14,2014-W31
crystal_palace,1799,72,71,72,71,7,balanced,normal,risky,organised,normal,normal,press,medium,normal,cover,10,10,33,26.18,25.55,2014-08-01,FIFA14,2014-W31
hull_city,1952,72,72,71,71,6.5,balanced,normal,normal,organised,normal,normal,press,medium,normal,cover,10,9,33,26.55,25.12,2014-08-01,FIFA14,2014-W31
cardiff_city,1961,72,72,70,73,6.8,balanced,little,normal,organised,normal,normal,press,deep,normal,cover,11,8,33,23.55,23.82,2014-08-01,FIFA14,2014-W31
chelsea,5,82,81,82,81,55,fast,normal,normal,organised,normal,lots,press,medium,normal,cover,20,20,33,26.18,24.61,2014-07-25,FIFA14,2014-W30
manchester_city,10,82,84,83,81,90,balanced,normal,safe,organised,normal,normal,press,medium,normal,cover,18,19,33,27.55,24.42,2014-07-25,FIFA14,2014-W30
manchester_united,11,82,85,79,80,39,balanced,normal,normal,organised,lots,normal,press,medium,normal,cover,20,20,33,27.18,24,2014-07-25,FIFA14,2014-W30
arsenal,1,80,79,81,80,30,balanced,normal,safe,free_form,normal,normal,press,medium,normal,cover,18,18,33,26.36,24,2014-07-25,FIFA14,2014-W30
liverpool,9,80,76,79,78,21,fast,normal,normal,organised,normal,normal,press,medium,normal,cover,17,18,33,24.55,22.85,2014-07-25,FIFA14,2014-W30
tottenham_hotspur,18,80,77,80,78,28,balanced,normal,normal,organised,normal,normal,press,medium,normal,cover,17,17,33,24.45,23.39,2014-07-25,FIFA14,2014-W30
everton,7,78,78,78,78,13,balanced,normal,normal,organised,normal,normal,press,medium,normal,cover,14,16,33,27.27,24.06,2014-07-25,FIFA14,2014-W30
newcastle_united,13,76,78,75,76,17,balanced,little,normal,organised,normal,normal,press,medium,normal,cover,15,16,33,25.73,23.33,2014-07-25,FIFA14,2014-W30
swansea_city,1960,76,79,74,75,8,balanced,normal,normal,free_form,normal,normal,press,medium,normal,cover,10,14,33,25.55,24.15,2014-07-25,FIFA14,2014-W30
southampton,17,75,76,76,73,10,balanced,normal,normal,free_form,normal,normal,press,medium,normal,cover,11,11,33,24.82,22.24,2014-07-25,FIFA14,2014-W30
